For maxcut
Cost and time using Brute Force
n= 4 cost= 2.2 time= 0.0017117500305175782
n= 5 cost= 4.2 time= 0.003989315032958985
n= 6 cost= 5.8 time= 0.008370351791381837
n= 7 cost= 8.4 time= 0.01956596374511719
n= 8 cost= 10.2 time= 0.025278759002685548
n= 9 cost= 14.4 time= 0.055298805236816406
n= 10 cost= 17.0 time= 0.12398314476013184
n= 11 cost= 20.6 time= 0.31872081756591797

Cost and time using NumpyEigenSolver
n= 4 cost= 2.0 time= 0.032107973098754884
n= 5 cost= 4.0 time= 0.029115867614746094
n= 6 cost= 6.2 time= 0.040325355529785153
n= 7 cost= 8.8 time= 0.04287862777709961
n= 8 cost= 10.4 time= 0.05665335655212402
n= 9 cost= 14.0 time= 0.08876233100891114
n= 10 cost= 17.6 time= 0.07041535377502442
n= 11 cost= 21.0 time= 0.0969306468963623

Cost and time using VQE
n= 4 cost= 3.0 time= 7.200374269485474
n= 5 cost= 4.0 time= 7.21085033416748
n= 6 cost= 6.0 time= 10.14873547554016
n= 7 cost= 7.4 time= 12.43466567993164
n= 8 cost= 11.0 time= 12.996568632125854
n= 9 cost= 13.2 time= 18.523327112197876
n= 10 cost= 17.0 time= 28.67285509109497
n= 11 cost= 21.0 time= 76.80111379623413

Cost and time using QAOA
n= 4 cost= nan time= 5.5946280002594
n= 5 cost= 2.7365296702218807 time= 9.676859378814697
n= 6 cost= 3.875636076994833 time= 14.170653247833252
n= 7 cost= 5.220856781642134 time= 17.557465934753417
n= 8 cost= 5.65541364814746 time= 20.59843554496765
n= 9 cost= 9.053755881187351 time= 29.098247528076172
n= 10 cost= 11.507616084275332 time= 41.959624242782596
n= 11 cost= 11.17124603816625 time= 81.96604266166688

for independant set of points
Cost and time using Brute Force
n= 4 cost= 2.8 time= 0.0001998424530029297
n= 5 cost= 2.8 time= 0.0007982254028320312
n= 6 cost= 3.0 time= 0.0023930549621582033
n= 7 cost= 3.4 time= 0.004788112640380859
n= 8 cost= 3.4 time= 0.010570621490478516
n= 9 cost= 3.8 time= 0.02075328826904297
n= 10 cost= 4.0 time= 0.04687457084655762
n= 11 cost= 4.0 time= 0.10870928764343261
n= 12 cost= 4.2 time= 0.2792529106140137
n= 13 cost= 4.6 time= 0.6716873168945312
n= 14 cost= 4.4 time= 1.459475612640381
n= 15 cost= 4.8 time= 3.3195346355438233
n= 16 cost= 4.6 time= 7.258779573440552

Cost and time using NumpyEigenSolver
n= 4 cost= 5.0 time= 0.4571860313415527
n= 5 cost= 4.8 time= 0.4481990337371826
n= 6 cost= 4.4 time= 0.4593649864196777
n= 7 cost= 4.6 time= 0.44301471710205076
n= 8 cost= 4.4 time= 0.4575820446014404
n= 9 cost= 4.4 time= 0.4645508289337158
n= 10 cost= 5.0 time= 0.44282965660095214
n= 11 cost= 4.4 time= 0.43423829078674314
n= 12 cost= 4.8 time= 0.4555854320526123
n= 13 cost= 5.0 time= 0.4408167839050293
n= 14 cost= 4.6 time= 0.465760612487793
n= 15 cost= 4.6 time= 0.4446051597595215
n= 16 cost= 5.0 time= 0.44940385818481443

Cost and time using VQE
n= 4 cost= 2.6 time= 1.001115083694458
n= 5 cost= 2.4 time= 0.6855667114257813
n= 6 cost= 2.8 time= 0.7867008686065674
n= 7 cost= 2.0 time= 0.7140918254852295
n= 8 cost= 2.8 time= 0.7677377223968506
n= 9 cost= 2.8 time= 0.6221422672271728
n= 10 cost= 2.4 time= 0.8984308242797852
n= 11 cost= 2.8 time= 0.8934167385101318
n= 12 cost= 2.4 time= 0.9221569061279297
n= 13 cost= 3.0 time= 0.5870296955108643
n= 14 cost= 2.8 time= 0.8062493801116943
n= 15 cost= 2.6 time= 0.6476672649383545
n= 16 cost= 2.4 time= 0.6462711811065673

Cost and time using QAOA
n= 4 cost= 2.2 time= 0.36203455924987793
n= 5 cost= 2.4 time= 0.2557064056396484
n= 6 cost= 3.0 time= 0.22420024871826172
n= 7 cost= 3.0 time= 0.23796343803405762
n= 8 cost= 3.0 time= 0.5824418067932129
n= 9 cost= 2.8 time= 0.23218512535095215
n= 10 cost= 2.4 time= 0.22898740768432618
n= 11 cost= 2.8 time= 0.245543909072876
n= 12 cost= 3.0 time= 0.23277702331542968
n= 13 cost= 3.0 time= 0.23995790481567383
n= 14 cost= 2.6 time= 0.24035701751708985
n= 15 cost= 3.0 time= 0.21881427764892578
n= 16 cost= 2.8 time= 0.24175357818603516
